Infodevice-Id,Infodevice-Name,Infolink-Direction,Infolink-Name,Latitude,Longitude
OpenTMS-Detector48481,NWDS08,e,I-80E,41.682465,-92.902508
OpenTMS-Detector47745,DMDS97,w,I-80W,41.599622,-93.777411
OpenTMS-Detector47623,DMDS90,w,I-80W,41.651547,-93.680161
OpenTMS-Detector48604,QCDS17,e,I-74E,41.559888,-90.522739
OpenTMS-Detector48068,ICDS17,n,US-218N,41.637313,-91.570632
OpenTMS-Detector48765,SCDS01,s,I-29S,42.374151,-96.353618
OpenTMS-Detector46025,CRDS46,e,US-30E,41.926723,-91.671669
OpenTMS-Detector734653583,80DS198,e,I-80E,41.695767,-92.421459
OpenTMS-Detector49133,SCDS24,e,US-20E,42.450283,-96.335081
OpenTMS-Detector48861,SCDS07,w,I-129W,42.446902,-96.380374
OpenTMS-Detector47385,DMDS73,w,I-80W,41.653378,-93.568632
OpenTMS-Detector48573,QCDS15,w,I-74W,41.543448,-90.518134
OpenTMS-Detector48098,ICDS19,n,US-218N,41.666379,-91.610407
OpenTMS-Detector45719,CRDS27,s,I-380S,42.006655,-91.666546
OpenTMS-Detector44030,AMDS01,e,IA-210E,41.877718,-93.571645
OpenTMS-Detector45501,CRDS13,n,I-380N,41.966808,-91.6706
OpenTMS-Detector1052199981,CBDS86,n,I-29N,41.221365,-95.832564
OpenTMS-Detector45245,CBDS81,w,RAMP: I-80W TO I-29S,41.230963,-95.840655
OpenTMS-Detector2419911804,CBDS90,s,I-29S,41.227564,-95.8378
OpenTMS-Detector2256862159,CBDS91,s,I-29S,41.22294,-95.834871
OpenTMS-Detector45084,CBDS71,w,I-80W,41.23269,-95.896112
OpenTMS-Detector46427,DMDS11,w,I-235W,41.595535,-93.603552
OpenTMS-Detector46275,DMDS03,e,I-235E,41.619956,-93.576106
OpenTMS-Detector46750,DMDS30,e,I-80E,41.623487,-93.776469
OpenTMS-Detector47763,DMDS98,n,I-35N,41.532056,-93.773678
OpenTMS-Detector47053,DMDS51,n,US-65N,41.519397,-93.519387
OpenTMS-Detector46819,DMDS34,e,I-80E,41.649597,-93.645205
OpenTMS-Detector2314915371,DMDS92,e,I-80E,41.652655,-93.71667
OpenTMS-Detector47283,DMDS66,s,I-35S,41.686028,-93.57616
OpenTMS-Detector47085,DMDS53,s,IA-5S,41.506006,-93.571025
OpenTMS-Detector46947,DMDS44,w,I-80W,41.6599,-93.523382
OpenTMS-Detector48411,NWDS03,s,IA-14S,41.683652,-93.077276
OpenTMS-Detector48692,QCDS23,n,US-61N,41.596531,-90.569676
OpenTMS-Detector47542,DMDS84,n,I-35N,41.820539,-93.5704
OpenTMS-Detector48678,QCDS22,w,IA-130W,41.599611,-90.618637
OpenTMS-Detector44616,CBDS26,s,I-29S,41.149316,-95.822543
OpenTMS-Detector45115,CBDS73,s,I-29S,41.23219,-95.89095
OpenTMS-Detector45129,CBDS74,s,I-29S,41.23196,-95.88488
OpenTMS-Detector45193,CBDS78,n,I-29N,41.232708,-95.858751
OpenTMS-Detector46979,DMDS46,n,US-65N,41.6438,-93.50975
OpenTMS-Detector45289,CBDS84,w,I-80W,41.232404,-95.864203
OpenTMS-Detector45289,CBDS84,w,I-80W,41.232404,-95.864203
OpenTMS-Detector49181,SCDS30,s,I-29S,42.491878,-96.424734
OpenTMS-Detector3583662734,IWZ2345 - I-80E @ MM 110.6,e,I-80E,41.541105,-94.003768
OpenTMS-Detector49462,WLDS11,s,I-380S,42.449117,-92.219672
OpenTMS-Detector44573,CBDS23,w,I-80W,41.260571,-95.803575
OpenTMS-Detector47234,DMDS63,e,I-80E,41.591899,-93.80373
OpenTMS-Detector45289,CBDS84,w,I-80W,41.232404,-95.864203
OpenTMS-Detector49490,WLDS13,e,US-20E,42.4492,-92.199948
OpenTMS-Detector3325076681,29DS123 - I-29N @ MM 123.6,n,I-29N,42.172198,-96.230155
OpenTMS-Detector44176,AMDS13,e,US-30E,42.022915,-93.732087
OpenTMS-Detector44192,AMDS13 EB Ramp,e,US-30E,42.022592,-93.732063
OpenTMS-Detector44204,AMDS14,w,US-30W,42.014638,-93.698916
OpenTMS-Detector44219,AMDS15,e,US-30E,42.00842,-93.679045
OpenTMS-Detector44235,AMDS16,w,US-30W,42.006972,-93.659052
OpenTMS-Detector44250,AMDS17,e,US-30E,42.002997,-93.644611
OpenTMS-Detector44267,AMDS18,w,US-30W,42.003382,-93.633927
OpenTMS-Detector44300,AMDS20,e,US-30E,42.004696,-93.610481
OpenTMS-Detector44332,AMDS22,e,US-30E,42.006274,-93.586508
OpenTMS-Detector44397,RWIS55 - Bedford - 512055,e,IA-2E,40.6773,-94.7808
OpenTMS-Detector44531,CBDS14,n,I-29N,41.236983,-95.899816
OpenTMS-Detector44842,CBDS42,s,I-29S,41.275492,-95.884727
OpenTMS-Detector45045,CBDS58,n,I-29N,41.232792,-95.87418
OpenTMS-Detector45095,CBDS72,e,I-80E,41.23184,-95.90115
OpenTMS-Detector45176,CBDS77,n,I-29N,41.217787,-95.828585
OpenTMS-Detector45211,CBDS79,n,I-29N,41.232588,-95.856219
OpenTMS-Detector45229,CBDS80,n,I-29N,41.233114,-95.844752
OpenTMS-Detector45256,CBDS82,w,I-80W,41.237713,-95.826297
OpenTMS-Detector45273,CBDS83,n,I-29N,41.223333,-95.834166
OpenTMS-Detector45305,CBDS85,s,I-29S,41.231987,-95.874377
OpenTMS-Detector45366,CRDS05,s,I-380S,41.926592,-91.67024
OpenTMS-Detector45687,CRDS25,s,I-380S,42.004226,-91.666802
OpenTMS-Detector45751,CRDS29,n,I-380N,42.018091,-91.666473
OpenTMS-Detector45770,CRDS30,s,I-380S,42.02397,-91.670543
OpenTMS-Detector46135,CRDS53,w,US-30W,41.926505,-91.603795
OpenTMS-Detector46591,DMDS21,e,I-235E,41.59088,-93.6755
OpenTMS-Detector46871,DMDS37,w,I-80W,41.650495,-93.593264
OpenTMS-Detector46890,DMDS38,s,I-35S,41.673181,-93.578389
OpenTMS-Detector47268,DMDS65,e,I-80E,41.585185,-93.822114
OpenTMS-Detector47349,DMDS70,n,I-35N,41.583986,-93.777465
OpenTMS-Detector47469,DMDS79,w,I-80W,41.66977,-93.458338
OpenTMS-Detector47639,DMDS91,w,I-80W,41.651992,-93.688825
OpenTMS-Detector47781,DMDS99,e,I-80E,41.5902,-93.780351
OpenTMS-Detector47900,ICDS06,e,I-80E,41.693756,-91.609356
OpenTMS-Detector47954,ICDS09,e,I-80E,41.685727,-91.544881
OpenTMS-Detector48306,NVDS01,e,US-30E,42.008613,-93.541026
OpenTMS-Detector48321,NVDS02,e,US-30E,42.00858,-93.501636
OpenTMS-Detector48336,NVDS03,e,US-30E,42.006234,-93.465303
OpenTMS-Detector48351,NVDS04,e,US-30E,42.005456,-93.444603
OpenTMS-Detector48366,NVDS05,w,US-30W,42.008383,-93.434792
OpenTMS-Detector48636,QCDS19,e,I-80E,41.604242,-90.724768
OpenTMS-Detector48795,SCDS03,n,I-29N,42.40775,-96.366
OpenTMS-Detector48877,SCDS08,n,I-29N,42.452253,-96.375783
OpenTMS-Detector48911,SCDS10,s,I-29S,42.484503,-96.392488
OpenTMS-Detector48928,SCDS11,n,I-29N,42.481117,-96.388461
OpenTMS-Detector48945,SCDS12,n,I-29N,42.489597,-96.408422
OpenTMS-Detector48980,SCDS15,s,I-29S,42.491188,-96.441624
OpenTMS-Detector49313,WLDS01,e,US-20E,42.453236,-92.37639
OpenTMS-Detector49328,WLDS02,n,IA-21N,42.453516,-92.346592
OpenTMS-Detector49343,WLDS03,e,US-20E,42.452482,-92.336871
OpenTMS-Detector49358,WLDS04,e,US-20E,42.453925,-92.312498
OpenTMS-Detector49402,WLDS07,n,I-380N,42.45939,-92.297705
OpenTMS-Detector49432,WLDS09,n,I-380N,42.457865,-92.253693
OpenTMS-Detector49447,WLDS10,s,I-380S,42.45085,-92.236829
OpenTMS-Detector1211267020,CRDS02,s,I-380S,41.89032,-91.671059
OpenTMS-Detector1322825455,QCDS39,w,I-74W,41.50143,-90.50805
OpenTMS-Detector2314952962,DMDS93,w,RAMP: I-80W TO 86TH STREET N,41.652578,-93.728362
OpenTMS-Detector2316319899,QCDS41,w,I-74W,41.492969,-90.505628
OpenTMS-Detector3488801002,ICDS38,e,RAMP: I-80E TO I-380N,41.694048,-91.636368
OpenTMS-Detector45732,CRDS28,n,I-380N,42.014148,-91.666525
OpenTMS-Detector47882,ICDS05,e,I-80E,41.69391,-91.615949
OpenTMS-Detector1323138097,QCDS30,w,I-74W,41.52783,-90.513708
OpenTMS-Detector1325151374,QCDS37,w,I-74W,41.513503,-90.512687
OpenTMS-Detector44044,AMDS02,n,I-35N,41.893749,-93.570946
OpenTMS-Detector44347,AMDS23,e,US-30E,42.008234,-93.560121
OpenTMS-Detector44406,BNDS01,e,US-30E,42.03445,-93.850197
OpenTMS-Detector44421,BNDS02,e,US-30E,42.034339,-93.815577
OpenTMS-Detector44436,BNDS03,e,US-30E,42.027816,-93.793914
OpenTMS-Detector44451,BNDS04,e,US-30E,42.023046,-93.776963
OpenTMS-Detector44497,CBDS01,e,I-80E,41.231774,-95.9071
OpenTMS-Detector44544,CBDS20,e,I-80E,41.233357,-95.82817
OpenTMS-Detector44601,CBDS25,w,I-80W,41.284106,-95.782972
OpenTMS-Detector44630,CBDS27,n,I-29N,41.189351,-95.823082
OpenTMS-Detector44887,CBDS45,s,I-29S,41.287385,-95.867591
OpenTMS-Detector44916,CBDS47,n,I-29N,41.343977,-95.892458
OpenTMS-Detector44947,CBDS49,e,I-680E,41.35402,-95.900831
OpenTMS-Detector44964,CBDS50,s,I-29S,41.359898,-95.901295
OpenTMS-Detector44996,CBDS52,s,I-29S,41.174461,-95.823876
